"State_County","State","STATE_FIPS","CNTY_FIPS","COUNTY","COUNTY2","FIPS","FIPS2","Freq"
"CT_Windham","CT","09","015","Windham ","Windham ","09015","f09015",22
"DC_District of Columbia","DC","11","001","District of Columbia","District of Columbia","11001","f11001",0
"DE_Kent","DE","10","001","Kent ","Kent ","10001","f10001",3
"DE_New Castle","DE","10","003","New Castle ","New Castle ","10003","f10003",0
"DE_Sussex","DE","10","005","Sussex ","Sussex ","10005","f10005",0
"FL_Alachua","FL","12","001","Alachua ","Alachua ","12001","f12001",0
"FL_Baker","FL","12","003","Baker ","Baker ","12003","f12003",0
"FL_Bay","FL","12","005","Bay ","Bay ","12005","f12005",0
"FL_Bradford","FL","12","007","Bradford ","Bradford ","12007","f12007",0
"FL_Brevard","FL","12","009","Brevard ","Brevard ","12009","f12009",0
"FL_Broward","FL","12","011","Broward ","Broward ","12011","f12011",0
"FL_Calhoun","FL","12","013","Calhoun ","Calhoun ","12013","f12013",0
"FL_Charlotte","FL","12","015","Charlotte ","Charlotte ","12015","f12015",0
"FL_Citrus","FL","12","017","Citrus ","Citrus ","12017","f12017",9
"FL_Clay","FL","12","019","Clay ","Clay ","12019","f12019",0
"FL_Collier","FL","12","021","Collier ","Collier ","12021","f12021",0
"FL_Columbia","FL","12","023","Columbia ","Columbia ","12023","f12023",0
"FL_DeSoto","FL","12","027","DeSoto ","DeSoto ","12027","f12027",0
"FL_Dixie","FL","12","029","Dixie ","Dixie ","12029","f12029",2
"FL_Duval","FL","12","031","Duval ","Duval ","12031","f12031",0
"FL_Escambia","FL","12","033","Escambia ","Escambia ","12033","f12033",0
"FL_Flagler","FL","12","035","Flagler ","Flagler ","12035","f12035",0
"FL_Franklin","FL","12","037","Franklin ","Franklin ","12037","f12037",0
"FL_Gadsden","FL","12","039","Gadsden ","Gadsden ","12039","f12039",0
"FL_Gilchrist","FL","12","041","Gilchrist ","Gilchrist ","12041","f12041",0
"FL_Glades","FL","12","043","Glades ","Glades ","12043","f12043",0
"FL_Gulf","FL","12","045","Gulf ","Gulf ","12045","f12045",0
"FL_Hamilton","FL","12","047","Hamilton ","Hamilton ","12047","f12047",0
"FL_Hardee","FL","12","049","Hardee ","Hardee ","12049","f12049",0
"FL_Hendry","FL","12","051","Hendry ","Hendry ","12051","f12051",0
"FL_Hernando","FL","12","053","Hernando ","Hernando ","12053","f12053",2
"FL_Highlands","FL","12","055","Highlands ","Highlands ","12055","f12055",0
"FL_Hillsborough","FL","12","057","Hillsborough ","Hillsborough ","12057","f12057",11
"FL_Holmes","FL","12","059","Holmes ","Holmes ","12059","f12059",0
"FL_Indian River","FL","12","061","Indian River ","Indian River ","12061","f12061",0
"FL_Jackson","FL","12","063","Jackson ","Jackson ","12063","f12063",0
"FL_Jefferson","FL","12","065","Jefferson ","Jefferson ","12065","f12065",0
"FL_Lafayette","FL","12","067","Lafayette ","Lafayette ","12067","f12067",0
